,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
251,District of Columbia,38.91,-77.01,Wendy’s,38.90890524528857,-77.00540944933897,Fast Food Restaurant
252,District of Columbia,38.91,-77.01,Domestique,38.910803,-77.009497,Wine Shop
253,District of Columbia,38.91,-77.01,WMATA Metro Bus 90,38.910739249566106,-77.00917864018288,Bus Line
254,District of Columbia,38.91,-77.01,S.O.M.E. (So Others Might Eat),38.90866893334902,-77.01148721139312,Cafeteria
255,District of Columbia,38.91,-77.01,Wonderbox,38.907937081868184,-77.0115420831193,Art Gallery
256,District of Columbia,38.91,-77.01,Wendy's Circle,38.90905316303228,-77.0052699967299,Plaza
257,District of Columbia,38.91,-77.01,Hyatt Place Starbucks Counter,38.907237918840984,-77.00747010168375,Coffee Shop
258,District of Columbia,38.91,-77.01,New York Ave & 1st NW,38.90669285390851,-77.01169247814315,Intersection
259,District of Columbia,38.91,-77.01,80 Bus At  Randolph Pl,38.91353130340576,-77.00914442539215,Bus Station
260,District of Columbia,38.91,-77.01,Sirius XM Gym,38.90971180485017,-77.00538757827744,Gym
261,District of Columbia,38.91,-77.01,New York Ave Playground,38.90654800060994,-77.01222739386853,Basketball Court
262,District of Columbia,38.91,-77.01,3rd Street Market,38.909715970247056,-77.01517914700098,Convenience Store
263,District of Columbia,38.91,-77.01,All in one Market,38.909881,-77.015413,Convenience Store
264,District of Columbia,38.91,-77.01,G2 Bus Stop - 3rd & Q NW,38.91124217162661,-77.01541092121654,Bus Station
265,Dover,39.16,-75.53,33 West,39.15794000545986,-75.52560743795568,American Restaurant
266,Dover,39.16,-75.53,The Golden Fleece Tavern,39.157628501147876,-75.52638120702522,Bar
267,Dover,39.16,-75.53,El Nopal,39.159777944015865,-75.53504674485664,Mexican Restaurant
268,Dover,39.16,-75.53,BNL (Brunch And Lunch),39.15803146362305,-75.52526092529297,New American Restaurant
269,Dover,39.16,-75.53,Grey Fox Grille & Public House,39.15873584175185,-75.5248419490723,Restaurant
270,Dover,39.16,-75.53,Angelo's Pizza,39.15789057968497,-75.52512531496251,Pizza Place
271,Dover,39.16,-75.53,Irish Mike's Old Towne Pub,39.157863965918146,-75.52605799100785,Bar
272,Dover,39.16,-75.53,Simaron,39.1572151184082,-75.53018188476562,American Restaurant
273,Dover,39.16,-75.53,La Delicia,39.157859,-75.531611,Mexican Restaurant
274,Dover,39.16,-75.53,Bayard Pharmacy,39.157336,-75.527458,Pharmacy
275,Dover,39.16,-75.53,City of Dover Park,39.163298,-75.532914,Park
276,Tallahassee,30.45,-84.27,Purple Martin Outpost,30.451524,-84.27034599999999,Garden Center
